locationdesc,category,response,age,gender,raceethnicity,data_value(%),low_confidence_limit,high_confidence_limit,numerator,sample_size,locationid,longitude,latitude
Washington,Age Related Macular Degeneration,Unspecified-age related macular degeneration,All ages,Male,"Hispanic, any race",0.0,0.0,0.01,90.0,188600.0,53,-120.4700107899,47.522278629
Louisiana,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),40-64 years,Male,Asian,0.07,0.05,0.31,130.0,55200.0,22,-92.44568007099,31.312660644
South Carolina,Age Related Macular Degeneration,Choroidal neovascularization,65-84 years,Female,"White, non-Hispanic",0.0,0.0,2.46,90.0,150.0,45,-81.04537120699,33.998821303
Missouri,Diabetic Eye Diseases,Proliferative diabetic retinopathy,85 years and older,Male,Unknown,0.0,0.0,7.4,60.0,50.0,29,-92.56630005299,38.635790776
Florida,Orbital and External Disease,Dry eye syndrome,40 years and older,All genders,"Black, non-Hispanic",0.81,0.75,0.88,650.0,79500.0,12,-81.92896053899,28.932040377
Oklahoma,Orbital and External Disease,Eyelid disorders,65-84 years,All genders,Unknown,0.04,0.02,0.42,60.0,6700.0,40,-97.52107021399,35.472031356
Minnesota,Diabetic Eye Diseases,Diabetic macular edema,65-84 years,All genders,North American Native,0.1,0.06,0.4,80.0,13100.0,27,-94.79420050299,46.355648736
Wisconsin,Cornea Disorders,Endothelial dystrophy (Fuchs),18-39 years,All genders,"White, non-Hispanic",0.0,0.0,0.01,70.0,195900.0,55,-89.81637074199,44.393191174
Florida,Other Retinal Disorders,Branch retinal artery occlusion,All ages,Male,Unknown,0.0,0.0,0.0,100.0,242300.0,12,-81.92896053899,28.932040377
Georgia,Glaucoma,Glaucoma suspect,40 years and older,Female,North American Native,1.75,0.36,5.04,90.0,170.0,13,-83.62758034599,32.839681093
South Carolina,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",65-84 years,All genders,"Hispanic, any race",0.0,0.0,9.49,90.0,40.0,45,-81.04537120699,33.998821303
Montana,Glaucoma,Other/unspecified glaucoma,65-84 years,Female,"Black, non-Hispanic",0.02,0.01,0.62,60.0,3700.0,30,-109.4244206449,47.066528972
South Dakota,Diabetic Eye Diseases,Non-proliferative,All ages,Female,Other,0.0,0.0,2.38,40.0,150.0,46,-100.3735306369,44.353130053
Hawaii,Glaucoma,Open-angle glaucoma,40 years and older,Male,All races,0.74,0.66,0.83,300.0,39800.0,15,-157.8577494029,21.304850435
New Mexico,Cancer and Neoplasms of the Eye,Benign neoplasm,40-64 years,Male,"White, non-Hispanic",0.19,0.14,0.25,50.0,26200.0,35,-106.2405809849,34.520880952
Mississippi,Diabetic Eye Diseases,Other diabetes related eye disorders,18-39 years,Male,North American Native,0.0,0.0,2.15,90.0,170.0,28,-89.53803082499,32.745510099
New York,Age Related Macular Degeneration,Non-vision threatening stage,18 years and older,Female,"Black, non-Hispanic",0.28,0.26,0.3,930.0,335000.0,36,-75.54397042699,42.827001032
Nevada,Diabetic Eye Diseases,Vision threatening stage,85 years and older,Female,All races,0.0,0.0,10.58,70.0,30.0,32,-117.0718405639,39.49324039
Nevada,Glaucoma,Primary angle-closure glaucoma,0-17 years,Male,Unknown,0.07,0.04,0.26,70.0,11400.0,32,-117.0718405639,39.49324039
Mississippi,Infectious and Inflammatory Diseases,Infectious diseases,40-64 years,Female,North American Native,0.0,0.0,3.45,90.0,110.0,28,-89.53803082499,32.745510099
District Of Columbia,Glaucoma,Glaucoma suspect,40-64 years,Female,Asian,0.0,0.0,0.7,50.0,1300.0,11,-77.03196112699,38.890371385
Georgia,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,40-64 years,Male,"White, non-Hispanic",0.22,0.16,0.31,40.0,17800.0,13,-83.62758034599,32.839681093
Pennsylvania,Other Visual Disturbances,Color blindness,40 years and older,All genders,"Black, non-Hispanic",0.01,0.01,0.02,20.0,147600.0,42,-77.86070029399,40.793730152
New York,Other Visual Disturbances,Night blindness,65 years and older,Female,"White, non-Hispanic",0.0,0.0,0.07,240.0,5500.0,36,-75.54397042699,42.827001032
Massachusetts,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,40 years and older,Female,Unknown,0.63,0.57,0.69,430.0,67500.0,25,-72.08269067499,42.27687047
Iowa,Other Retinal Disorders,Non-Occlusive retinal vascular disease,40 years and older,Female,Asian,0.62,0.3,1.13,70.0,1600.0,19,-93.81649055599,42.469400913
Oregon,Orbital and External Disease,Dry eye syndrome,18-39 years,Female,"Hispanic, any race",0.29,0.25,0.33,220.0,77600.0,41,-120.1550313259,44.567449424
Nevada,Diabetic Eye Diseases,Proliferative diabetic retinopathy,65 years and older,All genders,Unknown,0.07,0.04,0.26,70.0,11400.0,32,-117.0718405639,39.49324039
North Carolina,Other Retinal Disorders,Myopic degeneration,65 years and older,Female,Other,0.0,0.0,6.85,70.0,50.0,37,-79.15925046299,35.466220975
Maryland,Orbital and External Disease,Dry eye syndrome,0-17 years,All genders,All races,0.4,0.38,0.42,2400.0,606600.0,24,-76.60926011099,39.290580964
Maryland,Cornea Disorders,Cornea disorder related to contact lens,18 years and older,Female,"White, non-Hispanic",0.04,0.03,0.06,50.0,112800.0,24,-76.60926011099,39.290580964
Louisiana,Infectious and Inflammatory Diseases,Infectious diseases,40-64 years,Male,Unknown,0.18,0.15,0.22,100.0,54400.0,22,-92.44568007099,31.312660644
South Carolina,Other Retinal Disorders,Branch retinal artery occlusion,65-84 years,Female,"Black, non-Hispanic",0.0,0.0,2.02,90.0,180.0,45,-81.04537120699,33.998821303
Idaho,Cornea Disorders,All Cornea disorders,85 years and older,Female,"White, non-Hispanic",0.02,0.01,0.87,60.0,1600.0,16,-114.3637300419,43.682630005
Mississippi,Cornea Disorders,Keratoconus,65-84 years,Male,"White, non-Hispanic",0.0,0.0,9.49,90.0,40.0,28,-89.53803082499,32.745510099
Florida,Age Related Macular Degeneration,Wet-form age-related macular degeneration,40-64 years,All genders,North American Native,0.0,0.0,0.42,100.0,890.0,12,-81.92896053899,28.932040377
Texas,Cornea Disorders,Corneal transplant,85 years and older,Male,"Black, non-Hispanic",0.07,0.05,0.34,120.0,26600.0,48,-99.42677020599,31.827240407
Illinois,Disorders of Optic Nerve and Visual Pathways,Disorders of the visual pathway and visual cortex,65 years and older,Female,Asian,0.0,0.0,0.08,120.0,4600.0,17,-88.99771017799,40.485010283
Minnesota,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,85 years and older,All genders,"Hispanic, any race",0.0,0.0,7.25,80.0,50.0,27,-94.79420050299,46.355648736
Kentucky,Other Retinal Disorders,Myopic degeneration,40-64 years,All genders,Asian,0.1,0.02,0.3,90.0,3000.0,21,-84.77497104799,37.645970271
West Virginia,Infectious and Inflammatory Diseases,Conjunctivitis,65 years and older,All genders,"White, non-Hispanic",1.74,1.25,2.35,40.0,2400.0,54,-80.71264013499,38.665510202
Pennsylvania,Age Related Macular Degeneration,Advanced GA or Inactive CNV,40 years and older,Male,Unknown,0.06,0.04,0.3,160.0,40200.0,42,-77.86070029399,40.793730152
New Jersey,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,18 years and older,All genders,"Black, non-Hispanic",3.71,3.63,3.78,8700.0,234800.0,34,-74.27369128799,40.130570048
Massachusetts,Age Related Macular Degeneration,Wet-form age-related macular degeneration,18 years and older,Female,"Hispanic, any race",0.13,0.09,0.45,110.0,20200.0,25,-72.08269067499,42.27687047
New York,Orbital and External Disease,Congenital anomalies,85 years and older,All genders,North American Native,0.0,0.0,3.73,240.0,100.0,36,-75.54397042699,42.827001032
North Dakota,Other Retinal Disorders,All Other retinal disorders,40 years and older,All genders,"Black, non-Hispanic",0.64,0.23,1.38,30.0,940.0,38,-100.1184210489,47.475319779
Mississippi,Other Visual Disturbances,All Other visual disturbances,40 years and older,Male,"White, non-Hispanic",1.9,1.57,2.27,120.0,6100.0,28,-89.53803082499,32.745510099
Ohio,Other Retinal Disorders,Branch retinal vein occlusion,All ages,Male,Unknown,0.02,0.01,0.03,20.0,99400.0,39,-82.40426005599,40.060210141
Michigan,Infectious and Inflammatory Diseases,Infectious diseases,40 years and older,Male,Unknown,0.14,0.1,0.19,40.0,25300.0,26,-84.71439026999,44.661319543
Iowa,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,65-84 years,All genders,Asian,0.07,0.03,0.28,70.0,11900.0,19,-93.81649055599,42.469400913
Michigan,Orbital and External Disease,Other/unspecified orbital and external disease,40-64 years,Female,"White, non-Hispanic",0.09,0.08,0.11,150.0,167300.0,26,-84.71439026999,44.661319543
Arkansas,Orbital and External Disease,Disorders of the globe,65 years and older,All genders,Unknown,0.0,0.0,0.87,90.0,420.0,5,-92.27449074299,34.748650124
Maine,Age Related Macular Degeneration,Non-vision threatening stage,65-84 years,Female,All races,0.01,0.0,0.72,50.0,1400.0,23,-68.98503133599,45.254228894
Iowa,Other Eye Disorders,Other eye disorders,40-64 years,Female,All races,1.88,1.78,1.99,1200.0,64500.0,19,-93.81649055599,42.469400913
Nevada,Other Visual Disturbances,Night blindness,18 years and older,Female,North American Native,0.0,0.0,0.09,70.0,3900.0,32,-117.0718405639,39.49324039
West Virginia,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,40-64 years,Female,North American Native,0.0,0.0,8.0399999999,60.0,40.0,54,-80.71264013499,38.665510202
Kentucky,Diabetic Eye Diseases,All Diabetic eye diseases,85 years and older,Male,All races,0.0,0.0,5.1299999999,90.0,70.0,21,-84.77497104799,37.645970271
Delaware,Age Related Macular Degeneration,Non-vision threatening stage,40 years and older,All genders,All races,0.41,0.35,0.46,210.0,51300.0,10,-75.57774116799,39.008830667
Delaware,Other Retinal Disorders,All Other retinal disorders,All ages,All genders,"White, non-Hispanic",0.49,0.45,0.54,490.0,99500.0,10,-75.57774116799,39.008830667
Wisconsin,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,40-64 years,Male,Other,0.0,0.0,4.56,70.0,80.0,55,-89.81637074199,44.393191174
Maine,Other Retinal Disorders,Central retinal arterial occlusion,40 years and older,All genders,North American Native,0.0,0.0,0.71,50.0,520.0,23,-68.98503133599,45.254228894
Oregon,Age Related Macular Degeneration,Early stage age-related macular degeneration,18-39 years,Female,"Hispanic, any race",0.01,0.0,0.02,70.0,77600.0,41,-120.1550313259,44.567449424
National,Other Retinal Disorders,Branch retinal vein occlusion,18-39 years,Female,North American Native,0.0,0.0,0.01,890.0,170000.0,59,-93.23609634939444,40.43953357133333
Delaware,Other Retinal Disorders,Central retinal vein occlusion,All ages,Male,"Black, non-Hispanic",0.01,0.0,0.03,60.0,43100.0,10,-75.57774116799,39.008830667
Colorado,Other Retinal Disorders,Hereditary chorioretinal dystrophy,18 years and older,Female,North American Native,0.06,0.01,0.17,80.0,5100.0,8,-106.1336109209,38.843840757
Ohio,Orbital and External Disease,Dry eye syndrome,18-39 years,Female,"Hispanic, any race",0.96,0.84,1.09,240.0,25200.0,39,-82.40426005599,40.060210141
Iowa,Diabetic Eye Diseases,Vision threatening stage,18-39 years,Female,Unknown,0.07,0.04,0.12,10.0,19000.0,19,-93.81649055599,42.469400913
Minnesota,Other Eye Disorders,Other eye disorders,18 years and older,Female,Other,1.24,0.64,2.15,10.0,970.0,27,-94.79420050299,46.355648736
Iowa,Orbital and External Disease,All Orbital and external disease,65-84 years,Male,Asian,0.07,0.03,0.28,70.0,11900.0,19,-93.81649055599,42.469400913
Washington,Infectious and Inflammatory Diseases,Keratitis,0-17 years,Male,Unknown,0.06,0.04,0.08,30.0,47600.0,53,-120.4700107899,47.522278629
Puerto Rico,Age Related Macular Degeneration,Dry-form age-related macular degeneration,65-84 years,Male,All races,0.2,0.12,0.32,20.0,8400.0,72,-66.590149,18.220833
Nebraska,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",40-64 years,Male,"Black, non-Hispanic",1.4,0.8,2.26,20.0,1100.0,31,-99.36572062299,41.641040988
Iowa,Diabetic Eye Diseases,All Diabetic eye diseases,18 years and older,Female,"White, non-Hispanic",0.61,0.57,0.65,760.0,125400.0,19,-93.81649055599,42.469400913
New Hampshire,Orbital and External Disease,Dry eye syndrome,18-39 years,Male,North American Native,0.0,0.0,2.25,40.0,160.0,33,-71.50036091999,43.655950113
Massachusetts,Orbital and External Disease,Congenital anomalies,85 years and older,Female,"Hispanic, any race",0.13,0.09,0.45,110.0,20200.0,25,-72.08269067499,42.27687047
Missouri,Infectious and Inflammatory Diseases,Conjunctivitis,65-84 years,Female,North American Native,0.04,0.02,0.59,60.0,3900.0,29,-92.56630005299,38.635790776
New York,Glaucoma,Glaucoma suspect,40-64 years,Female,All races,5.8799999999,5.83,5.9399999999,41200.0,700400.0,36,-75.54397042699,42.827001032
Delaware,Other Visual Disturbances,All Other visual disturbances,40 years and older,Female,Asian,1.27,0.64,2.26,60.0,870.0,10,-75.57774116799,39.008830667
Michigan,Glaucoma,Secondary glaucoma,85 years and older,Male,Other,0.08,0.05,0.34,110.0,11900.0,26,-84.71439026999,44.661319543
Mississippi,Other Retinal Disorders,Myopic degeneration,All ages,Male,"White, non-Hispanic",0.02,0.01,0.03,20.0,81000.0,28,-89.53803082499,32.745510099
South Carolina,Orbital and External Disease,Lacrimal diseases,40 years and older,Female,"White, non-Hispanic",0.08,0.05,0.13,20.0,22000.0,45,-81.04537120699,33.998821303
District Of Columbia,Glaucoma,Other/unspecified glaucoma,65-84 years,Female,North American Native,0.0,0.0,0.7,50.0,1300.0,11,-77.03196112699,38.890371385
Arizona,Diabetic Eye Diseases,Severe non-proliferative,85 years and older,Male,North American Native,0.1,0.06,0.34,90.0,13400.0,4,-111.7638112769,34.86597028
Ohio,Age Related Macular Degeneration,Advanced GA or Inactive CNV,65 years and older,All genders,North American Native,0.14,0.09,0.35,130.0,21500.0,39,-82.40426005599,40.060210141
Colorado,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,All ages,All genders,North American Native,0.08,0.04,0.34,80.0,11200.0,8,-106.1336109209,38.843840757
Connecticut,Age Related Macular Degeneration,Advanced GA or Inactive CNV,18 years and older,All genders,Unknown,0.01,0.01,0.02,30.0,230600.0,9,-72.64984095199,41.56266102
Wisconsin,Infectious and Inflammatory Diseases,Endophthalmitis,40 years and older,All genders,All races,0.03,0.02,0.03,50.0,196800.0,55,-89.81637074199,44.393191174
Oklahoma,Other Retinal Disorders,Non-Occlusive retinal vascular disease,40 years and older,Female,"White, non-Hispanic",0.58,0.49,0.68,150.0,26600.0,40,-97.52107021399,35.472031356
Massachusetts,Age Related Macular Degeneration,Choroidal neovascularization,18 years and older,Male,North American Native,0.0,0.0,0.4,110.0,910.0,25,-72.08269067499,42.27687047
Hawaii,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,18 years and older,Female,Unknown,3.51,3.25,3.78,660.0,18700.0,15,-157.8577494029,21.304850435
Massachusetts,Glaucoma,Open-angle glaucoma,65 years and older,Male,Unknown,7.04,5.5699999999,8.7599999999,70.0,1100.0,25,-72.08269067499,42.27687047
Colorado,Cancer and Neoplasms of the Eye,Malignant neoplasm,0-17 years,Female,"Hispanic, any race",0.01,0.0,0.03,80.0,35500.0,8,-106.1336109209,38.843840757
California,Glaucoma,Primary angle-closure glaucoma,85 years and older,Male,All races,0.58,0.38,0.85,30.0,4600.0,6,-120.9999995379,37.638640123
New York,Other Retinal Disorders,Other/unspecified other retinal disorders,40 years and older,Female,All races,1.78,1.75,1.81,13200.0,742700.0,36,-75.54397042699,42.827001032
Michigan,Other Retinal Disorders,Central retinal vein occlusion,40 years and older,Female,"White, non-Hispanic",0.03,0.02,0.03,50.0,177000.0,26,-84.71439026999,44.661319543
Montana,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,18 years and older,Male,"Hispanic, any race",0.02,0.01,0.62,60.0,3700.0,30,-109.4244206449,47.066528972
Colorado,Retinal Detachment and Defects,Retinal detachment and defects,65 years and older,Female,Unknown,0.08,0.04,0.34,80.0,11200.0,8,-106.1336109209,38.843840757
New Mexico,Cornea Disorders,Cornea disorder related to contact lens,40 years and older,All genders,All races,0.03,0.02,0.04,40.0,152500.0,35,-106.2405809849,34.520880952
New Jersey,Other Retinal Disorders,Occlusive retinal vascular disease,All ages,Male,Unknown,0.21,0.14,0.48,120.0,29000.0,34,-74.27369128799,40.130570048
Washington,Cornea Disorders,Endothelial dystrophy (Fuchs),0-17 years,All genders,"Hispanic, any race",0.07,0.04,0.25,90.0,23200.0,53,-120.4700107899,47.522278629
Delaware,Diabetic Eye Diseases,All Diabetic eye diseases,All ages,Female,Unknown,0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Mississippi,Age Related Macular Degeneration,Advanced GA or Inactive CNV,40 years and older,Male,"White, non-Hispanic",0.05,0.01,0.14,90.0,6100.0,28,-89.53803082499,32.745510099
Massachusetts,Cornea Disorders,All Cornea disorders,65 years and older,All genders,"Hispanic, any race",2.63,0.72,6.6,110.0,150.0,25,-72.08269067499,42.27687047
Georgia,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,0-17 years,Female,"Hispanic, any race",0.13,0.08,0.21,20.0,13000.0,13,-83.62758034599,32.839681093
Nebraska,Cornea Disorders,All Cornea disorders,65 years and older,Male,"White, non-Hispanic",0.0,0.0,1.36,30.0,270.0,31,-99.36572062299,41.641040988
New Hampshire,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,All ages,Male,"Hispanic, any race",0.01,0.0,0.76,40.0,1200.0,33,-71.50036091999,43.655950113
Wyoming,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,40-64 years,All genders,"White, non-Hispanic",0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
Missouri,Orbital and External Disease,Lacrimal diseases,65 years and older,All genders,North American Native,0.04,0.02,0.59,60.0,3900.0,29,-92.56630005299,38.635790776
